received_at,topic,filename,qos,dup,retain,payload_bytes,header_bytes_est,app_total_bytes,app_over_file_ratio,ack_topic
2025-10-06 16:49:20.212,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:20.792,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:21.216,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:21.391,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:21.904,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:22.164,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:22.306,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:22.612,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:23.026,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:23.458,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:23.744,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:23.960,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:24.493,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:24.875,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:25.414,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:26.095,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:26.304,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:26.406,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:26.615,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:26.813,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:27.022,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:27.346,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:27.593,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:28.074,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
