received_at,topic,filename,qos,dup,retain,payload_bytes,header_bytes_est,app_total_bytes,app_over_file_ratio,ack_topic
2025-10-06 19:35:12.945,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:13.494,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:14.075,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:14.592,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:15.086,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:15.566,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:16.129,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:16.609,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:17.094,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:17.572,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:18.050,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:18.554,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:19.110,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:19.592,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:20.115,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:20.622,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:21.108,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:21.588,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:22.073,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:22.567,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:23.053,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:23.528,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:24.055,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:24.533,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:25.017,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:25.500,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:26.155,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:26.633,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:27.119,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:27.596,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:28.109,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:28.590,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:29.070,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:29.571,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:30.148,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:30.673,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:31.150,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:31.764,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:32.413,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:33.087,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:33.642,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:34.290,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 19:35:34.930,fileTransfer/100B,100B,2,False,False,100,23,123,1.230000,fileAck/100B
